algorithm,scenario,metric,n,mean,median,std,min,p25,p75,iqr,max,cv_abs,sum
HAPPO,E2,carbon_emissions_delta_kgco2,17,167932.93335007827,53833.72757072927,227917.37580487077,6059.6923660189495,29306.247100028675,296410.6861591768,267104.43905914814,767079.3278661673,1.3571928463236396,2854859.8669513306
HAPPO,E2,carbon_emissions_ratio_to_baseline,17,1.5592353506845362,1.3986944811030553,0.4790729393306994,1.1025554998316365,1.2321733280805296,1.8482162242069504,0.6160428961264208,3.061875487138034,0.3072486389693362,26.507000961637115
HAPPO,E2,electrical_service_violation_time_step_count,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
HAPPO,E2,electrical_service_violation_total_kwh,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0
HAPPO,E2,electricity_cost_baseline_eur,17,350226.5770468931,151776.73326001107,624363.9686443534,-32830.10372732501,8658.516547229825,264997.5443575372,256339.02781030734,1954699.6208284425,1.7827429714471816,5953851.809797182
HAPPO,E2,electricity_cost_control_eur,17,338819.0149685106,46304.02539199515,681250.1070325957,-70432.65078198038,-13156.629643052063,324304.9100218571,337461.5396649092,2153049.3561413498,2.0106607862487005,5759923.25446468
HAPPO,E2,electricity_cost_delta_eur,17,-11407.562078382442,-16938.7118034121,82374.01091529147,-186075.6191536248,-44420.29382103922,8655.245185366133,53075.53900640535,210825.76962644607,7.2210004512175185,-193928.5553325015
HAPPO,E2,electricity_cost_ratio_to_baseline,17,0.8623130280526965,0.9283534394133148,1.871346143635605,-2.361028148225428,0.1869399349309546,1.108548660973039,0.9216087260420844,6.218053995717269,2.170147130748494,14.65932147689584
HAPPO,E2,equity_relative_benefit_percent,14,72.65257867462525,7.321738646774941,117.6708151264111,-26.980106669630448,-3.566936802824045,95.034886244745,98.60182304756904,336.1028148225427,1.619637145343459,1017.1361014447534
HAPPO,E2,ev_charge_total_kwh,17,11233.247107912073,9080.561199592426,8567.355419224294,1605.0547980684787,5491.316218134016,17428.98997742124,11937.673759287223,31154.47156629153,0.7626784434564718,190965.20083450526
HAPPO,E2,ev_departure_count,17,2334.235294117647,1535.0,2220.9324204433756,542.0,983.0,2133.0,1150.0,7949.0,0.9514603887792296,39682.0
HAPPO,E2,ev_departure_met_count,17,1148.4117647058824,768.0,1093.4864001682606,232.0,455.0,1180.0,725.0,4100.0,0.9521727604804809,19523.0
HAPPO,E2,ev_departure_soc_deficit_mean,17,0.25282921375113027,0.2378822372930405,0.05020197105544662,0.1782293027106532,0.2225173153520753,0.2840012294581649,0.06148391410608961,0.3547701739956057,0.19856080043369667,4.298096633769214
HAPPO,E2,ev_departure_success_rate,17,0.49241926618521664,0.4739583333333333,0.06825546590237071,0.4033816425120773,0.4280442804428044,0.5307234886025768,0.10267920815977238,0.6199664429530202,0.13861250074788375,8.371127525148683
HAPPO,E2,ev_departure_within_tolerance_count,17,121.70588235294117,88.0,139.3842551661962,30.0,48.0,113.0,65.0,559.0,1.1452548757009837,2069.0
HAPPO,E2,ev_departure_within_tolerance_rate,17,0.05053360994997815,0.0499614693038787,0.014013452523702412,0.0305188199389623,0.0402144772117962,0.0628045479155387,0.022590070703742506,0.0708274894810659,0.2773095477954959,0.8590713691496286
HAPPO,E2,ev_v2g_export_total_kwh,17,3036.846212296138,2251.309356917758,3093.8544171269473,7.399999618530273,1095.399405089207,3521.4310475786333,2426.0316424894263,10320.139938542445,1.0187721737768556,51626.38560903435
HAPPO,E2,grid_export_baseline_kwh,17,2436539.958150668,1930142.9073472023,2450713.686563888,96763.40979127586,1078095.5331265926,2957264.577039242,1879169.0439126492,10206778.40539813,1.005817154102401,41421179.28856136
HAPPO,E2,grid_export_control_kwh,17,2581601.0403628703,1969324.9364385605,2443417.047516076,119866.48472023755,1074679.2094760537,3329953.7842891216,2255274.574813068,10190799.46297896,0.9464735291447778,43887217.6861688
HAPPO,E2,grid_export_daily_average_baseline_kwh,17,6676.214065032086,5288.666488906594,6715.050631068994,265.13549891433047,2954.023609434664,8103.019733867086,5148.996124432422,27966.9690295188,1.005817154102401,113495.63910554546
HAPPO,E2,grid_export_daily_average_control_kwh,17,7073.687061160966,5396.026769554224,6695.057556842771,328.43882101674865,2944.6627500200125,9124.202628489433,6179.539878469421,27923.1861070322,0.9464735291447779,120252.68003973641
HAPPO,E2,grid_export_daily_average_delta_kwh,17,397.4729961288796,70.32173776735466,598.6335039424697,-43.78292248659802,5.430597267190076,735.8270409041472,730.3964436369572,1866.8979474753196,1.5060985520343735,6757.040934190953
HAPPO,E2,grid_export_delta_kwh,17,145061.08221220234,25664.50421267748,218476.28587633715,-15978.942419171331,1981.9417276382449,268546.21046997607,266564.2687423378,681339.9634140134,1.5060985520343735,2466038.3976074397
HAPPO,E2,grid_export_ratio_to_baseline,17,1.1557042147964667,1.0062243651823792,0.25355038125400825,0.9968311494245494,1.0008314907869733,1.2303637538883865,0.22953226310141317,2.0114676725113165,0.2193903751563816,19.646971651539932
HAPPO,E2,grid_import_baseline_kwh,17,703020.8161297265,318261.1637378335,1178212.9032286785,21399.25914862752,46766.01421306096,535519.3085417747,488753.2943287138,3770473.085530281,1.6759289002493294,11951353.87420535
HAPPO,E2,grid_import_control_kwh,17,923321.4642661016,387502.65272663534,1418098.6373592846,36413.360894180834,86095.61404609215,853794.6724708527,767699.0584247606,4633932.50129354,1.5358666425960916,15696464.892523726
HAPPO,E2,grid_import_daily_average_baseline_kwh,17,1926.304325506729,872.0479426541848,3228.349089792018,58.63480072691637,128.1406942702892,1467.3436927734438,1339.2029985031545,10331.24261362333,1.6759289002493292,32747.17353361439
HAPPO,E2,grid_import_daily_average_control_kwh,17,2529.936652858367,1061.772310245376,3885.6453130063746,99.77402231537162,235.90532447838928,2339.4305445028504,2103.5252200244613,12697.154929905808,1.535866642596092,43008.92309859224
HAPPO,E2,grid_import_daily_average_delta_kwh,17,603.6323273516385,189.72436759119125,805.7757385159423,21.659585295828364,103.77754707303474,1105.909169287684,1002.1316222146494,2645.159774978543,1.3348783721560817,10261.749564977856
HAPPO,E2,grid_import_delta_kwh,17,220300.64813637504,69241.48898880184,294074.5705692141,7904.846150256693,37874.4806171963,403610.76724128425,365736.28662408795,965373.102876544,1.334878372156082,3745111.0183183756
HAPPO,E2,grid_import_minus_export_control_kwh,17,-1658279.5760967687,-1804451.763443701,2816240.0412753066,-9579438.385699391,-2275778.619392073,-85607.26698243804,2190171.3524096347,2499617.052725075,1.6982902532660544,-28190752.79364507
HAPPO,E2,grid_import_ratio_to_baseline,17,1.556078296510025,1.3880663813979952,0.4752210751518527,1.1018120754833098,1.2367719899479164,1.840986782706128,0.6042147927582115,3.0404177324240265,0.3053966347436882,26.453331040670427
HAPPO,E2,net_exchange_baseline_kwh,17,-1733519.1420209417,-1861080.3489635177,2798832.486494951,-9684843.075184822,-2421745.268497467,-120201.81186890602,2301543.456628561,2354635.9650198817,1.6145379757572587,-29469825.41435601
HAPPO,E2,net_exchange_control_kwh,17,-1658279.5760967687,-1804451.763443701,2816240.0412753066,-9579438.385699391,-2275778.619392073,-85607.26698243804,2190171.3524096347,2499617.052725075,1.6982902532660544,-28190752.79364507
HAPPO,E2,net_exchange_delta_kwh,17,75239.5659241727,35201.245892465115,81353.50244050959,6403.206486126408,14771.405688234605,105404.68948543072,90633.28379719611,284033.1394625306,1.0812595931573898,1279072.620710936
