algorithm,scenario,episode,steps,reward_mean_average,reward_sum_total,source
MAAC,E1,12,8760,-0.6126887445160125,-91241.60783332458,Drive results.json episode_summaries
MAAC,E1,13,8760,-0.6184372879624299,-92097.68092336506,Drive results.json episode_summaries
MAAC,E1,14,8760,-0.5851158590868252,-87135.45373521,Drive results.json episode_summaries
MAAC,E1,15,8760,-0.612993943769927,-91287.05810621753,Drive results.json episode_summaries
MAAC,E1,16,8760,-0.6178685858812752,-92012.98980943952,Drive results.json episode_summaries
MAAC,E1,17,8760,-0.5855630536827356,-87202.049954433,Drive results.json episode_summaries
MAAC,E1,18,8760,-0.6126111153007132,-91230.04729058221,Drive results.json episode_summaries
MAAC,E1,19,8760,-0.6177036253450032,-91988.42388637789,Drive results.json episode_summaries
MAAC,E1,20,8760,-0.5852160178355609,-87150.36937607173,Drive results.json episode_summaries
MAAC,E1,21,8760,-0.6121384919411609,-91159.66421987768,Drive results.json episode_summaries
MAAC,E1,22,8760,-0.6190885510797438,-92194.66702679545,Drive results.json episode_summaries
MAAC,E1,23,8760,-0.5860118925903146,-87268.89104454964,Drive results.json episode_summaries
MAAC,E1,24,8760,-0.6112615766062335,-91029.07398820028,Drive results.json episode_summaries
MAAC,E1,25,8745,-0.6175844301151995,-91813.18930307613,Drive results.json episode_summaries
MAAC,E1,26,8760,-0.5844288248600668,-87033.14059816115,Drive results.json episode_summaries
MAAC,E1,27,8760,-0.6117170838902802,-91096.90813294053,Drive results.json episode_summaries
MAAC,E1,28,8760,-0.6185628484434886,-92116.37939020433,Drive results.json episode_summaries
MAAC,E1,29,8760,-0.585381488820759,-87175.01131518744,Drive results.json episode_summaries
MAAC,E1,30,8760,-0.6123242536469864,-91187.32785310922,Drive results.json episode_summaries
MAAC,E1,31,8760,-0.6177232990346501,-91991.35369224008,Drive results.json episode_summaries
MAAC,E1,32,8760,-0.5851290992442009,-87137.42545944639,Drive results.json episode_summaries
MAAC,E1,33,8760,-0.613007820634805,-91289.12464893516,Drive results.json episode_summaries
MAAC,E1,34,8760,-0.6183967119030249,-92091.63833659847,Drive results.json episode_summaries
MAAC,E1,35,8760,-0.5855620873117071,-87201.90604245942,Drive results.json episode_summaries
MAAC,E1,36,8760,-0.6123340502775755,-91188.78676733654,Drive results.json episode_summaries
MAAC,E1,37,8760,-0.6196145562958993,-92272.99972358532,Drive results.json episode_summaries
MAAC,E1,38,8747,-0.5862138274466363,-87169.40992748737,Drive results.json episode_summaries
MAAC,E1,39,8760,-0.584833151916867,-87093.35298345983,Drive results.json episode_summaries
MAAC,E1,40,8760,-0.6123142001430396,-91185.83068530145,Drive results.json episode_summaries
MAAC,E1,41,8760,-0.6199636652215158,-92324.98902478814,Drive results.json episode_summaries
MAAC,E1,42,8760,-0.5865720391388319,-87352.30806855485,Drive results.json episode_summaries
MAAC,E1,43,8760,-0.6136279890933564,-91381.48013578262,Drive results.json episode_summaries
MAAC,E1,44,8760,-0.6196508009789924,-92278.39728179155,Drive results.json episode_summaries
MAAC,E1,45,8760,-0.5863474134151658,-87318.85680578649,Drive results.json episode_summaries
MAAC,E1,46,8760,-0.6135889525661355,-91375.6668161489,Drive results.json episode_summaries
MAAC,E1,47,8760,-0.619451847127264,-92248.76907419215,Drive results.json episode_summaries
MAAC,E1,48,8760,-0.5858474200349046,-87244.39779159799,Drive results.json episode_summaries
MAAC,E1,49,8749,-0.613195339604192,-91202.38244535029,Drive results.json episode_summaries
MAAC,E2,0,8760,-0.5117970278910983,-76216.81339354234,Drive results.json episode_summaries
MAAC,E2,1,8760,-0.5276548273727347,-78578.35689234766,Drive results.json episode_summaries
MAAC,E2,2,8760,-0.5338700148763145,-79503.92261538075,Drive results.json episode_summaries
MAAC,E2,3,8760,-0.5119963745710402,-76246.50010111931,Drive results.json episode_summaries
MAAC,E2,4,8760,-0.5277581635428972,-78593.74571480825,Drive results.json episode_summaries
MAAC,E2,5,8760,-0.5335961320186586,-79463.13598021865,Drive results.json episode_summaries
MAAC,E2,6,8760,-0.5121681774595345,-76272.08498727388,Drive results.json episode_summaries
MAAC,E2,7,8752,-0.5274129886270718,-78470.61409989026,Drive results.json episode_summaries
MAAC,E2,8,8760,-0.5116219696961583,-76190.74372715189,Drive results.json episode_summaries
MAAC,E2,9,8760,-0.5277609250944436,-78594.15696506455,Drive results.json episode_summaries
MAAC,E2,10,8757,-0.5339684196918764,-79491.34467110994,Drive results.json episode_summaries
MAAC,E2,11,8760,-0.5116550955697007,-76195.67683223983,Drive results.json episode_summaries
MAAC,E2,12,8760,-0.5275918060049496,-78568.9717502571,Drive results.json episode_summaries
