algorithm,scenario,episodes,kpi,value,gain,improved
MASAC,E2,50,cost_peak_average,1.0956074399714257,-0.09560743997142573,False
MASAC,E2,50,cost_ramping_average,1.0208812307447095,-0.02088123074470949,False
MASAC,E2,50,electricity_cost,1.0050652080032747,-0.0050652080032747016,False
MASAC,E2,50,electricity_cost_baseline,5914557.320100955,,
MASAC,E2,50,electricity_cost_control,5944515.783174557,,
MASAC,E2,50,electricity_cost_daily_average_baseline,16206.11664372907,,
MASAC,E2,50,electricity_cost_daily_average_control,16288.203995454889,,
MASAC,E2,50,electricity_cost_daily_average_delta,82.08735172581879,-82.08735172581879,False
MASAC,E2,50,electricity_cost_delta,15020.275212663882,-15020.275212663882,False
MASAC,E2,50,ev_charge_total,11514.183938987553,,
MASAC,E2,50,ev_departure_count,39682.0,,
MASAC,E2,50,ev_departure_met_count,1612.0,,
MASAC,E2,50,ev_departure_soc_deficit_mean,0.5010665009797093,0.4989334990202907,True
MASAC,E2,50,ev_departure_success_rate,0.04062295247215362,,
MASAC,E2,50,ev_departure_within_tolerance_count,507.0,,
MASAC,E2,50,ev_departure_within_tolerance_rate,0.012776573761403155,,
MASAC,E2,50,ev_v2g_export_total,3494.122005420897,,
MASAC,E2,50,grid_export_baseline,40654819.36426163,,
MASAC,E2,50,grid_export_control,40650741.652760245,,
MASAC,E2,50,grid_export_delta,-2044.4422945907447,2044.4422945907447,True
MASAC,E2,50,grid_export_ratio,0.9998996991853574,0.00010030081464262874,True
MASAC,E2,50,grid_import,1.0508408423700657,-0.0508408423700657,False
MASAC,E2,50,grid_import_baseline,11107242.547481537,,
MASAC,E2,50,grid_import_control,11163503.039496081,,
MASAC,E2,50,grid_import_delta,28207.32397326982,-28207.32397326982,False
MASAC,E2,50,net_exchange_baseline,-29547576.81678009,,
MASAC,E2,50,net_exchange_control,-29487238.613264162,,
MASAC,E2,50,net_exchange_delta,30251.766267861498,-30251.766267861498,False
MASAC,E2,50,one_minus_load_factor_average,0.9788572813323027,0.021142718667697347,True
MASAC,E2,50,peak_average,1.0956074399714257,-0.09560743997142573,False
MASAC,E2,50,pv_export_daily_average,113436.8744305524,,
MASAC,E2,50,pv_export_total,41399732.63071702,,
MASAC,E2,50,pv_generation_daily_average,135736.12476592427,,
MASAC,E2,50,pv_generation_total,49538029.867697105,,
MASAC,E2,50,pv_self_consumption_ratio,0.1642838291856845,,
MASAC,E2,50,ramping_average,1.0208812307447095,-0.02088123074470949,False
MASAC,E2,50,zero_net_energy,0.9988687270130299,0.0011312729869701332,True
MASAC,E2,50,flex_composite,1.0317819840161462,-0.03178198401614618,False
MASAC,E3,50,battery_capacity_fade_ratio,5.80514716116429e-05,0.9999419485283884,True
MASAC,E3,50,battery_charge_total,383545.61018115666,,
