agent,algorithm,battery_throughput_total_kwh,building_id,carbon_emissions_delta_kgco2,electricity_cost_delta_eur,ev_charge_total_kwh,ev_departure_count,ev_departure_success_rate,ev_total,flex_composite_proxy,grid_export_max,grid_import_max,grid_role_control,nombre,objective,pv_self_consumption_ratio,run_id,scenario,tipo_uso
Building_17,MATD3,391.2931638907121,17,8626.72504574852,8075.305863098925,11569.55326846242,2112.0,0.7395833333333334,11,43.324381140266304,0.0,129.20327758789062,net_exporter,ASOCIACION CIVIL SELVA AMAZONICA,OE1_flexibilidad,0.2301341670917117,madrl_v3_20260627_164047,E1,Laboratory
Building_1,MATD3,3607.433335058442,1,6951.535140919033,4618.862719768193,7693.142107978463,924.0,0.25865800865800864,4,502.73605287281026,703.340087890625,804.3753662109375,net_importer,ELECTRO ORIENTE S.A.,OE2_co2,0.5072954831317513,madrl_v3_20260627_164047,E2,Office
Building_2,MATD3,129.90314421200696,2,102.6227556636295,-133.3569866283051,354.17428172007203,542.0,0.15129151291512916,6,14.242049495116945,3.050830602645874,38.69163513183594,net_exporter,MUNICIPALIDAD DISTRITAL DE SAN JUAN BAUTISTA,OE2_co2,0.01631724913097641,madrl_v3_20260627_164047,E2,Office
Building_3,MATD3,664.1392211914062,3,-1112.949284640723,-958.8966749461833,4229.520744848996,2505.0,0.38602794411177643,8,170.37629454765326,0.0,510.3820495605469,net_exporter,AEROPUERTO INTERNACIONAL,OE2_co2,0.25316591758712687,madrl_v3_20260627_164047,E2,Assembly
Building_4,MATD3,129.38999938964844,4,86.86336731998017,-32.59594170260243,2697.514974117279,1426.0,0.48106591865357645,6,54.15818133627561,0.0,162.28848266601562,net_importer,HIPERMERCADOS TOTTUS ORIENTE SAC,OE2_co2,0.8139386571887858,madrl_v3_20260627_164047,E2,Retail
Building_5,MATD3,66.69000244140625,5,-1416.2341955444426,-950.0458268172515,0.0,746.0,0.0,3,20.203868053054272,0.0,60.26204299926758,net_importer,HOTEL PLAZA S.A.,OE2_co2,0.6504388401047617,madrl_v3_20260627_164047,E2,MultiFamily_Hotel
Building_6,MATD3,724.1849975585938,6,8619.185892284382,5521.813462362625,24601.083665251732,7949.0,0.3450748521826645,32,121.01169091626066,0.0,362.8901062011719,net_importer,MALL AVENTURA S.A.,OE2_co2,0.8550334523898645,madrl_v3_20260627_164047,E2,Commercial_Mall
Building_7,MATD3,523.6122240451477,7,10147.588059800866,7192.0250282994675,17457.822829430923,7786.0,0.4193424094528641,42,67.79374483868628,183.75563049316406,18.660245895385742,net_exporter,UNAP-FACULTAD DE BIOLOGIA-AULAS,OE2_co2,0.034641872490970546,madrl_v3_20260627_164047,E2,Education
Building_8,MATD3,169.09834671020508,8,-1904.0908750832314,-1950.974042386908,3839.3417687695473,3726.0,0.29495437466451957,17,29.40861546712185,0.0,87.2361068725586,net_exporter,PNP- ESCUELA TECNICA SUPERIOR-IQUITOS,OE2_co2,0.010260471193031816,madrl_v3_20260627_164047,E2,Assembly_Military
Building_9,MATD3,38.87544536590576,9,557.2435806423127,303.81413540743426,3373.1118268873543,1847.0,0.5100162425554954,10,9.724916359980693,25.74156379699707,2.4506425857543945,net_exporter,GOBIERNO REGIONAL DE LORETO - COER,OE2_co2,0.017457302809387575,madrl_v3_20260627_164047,E2,Office_Critical
Building_10,MATD3,662.9605941772461,10,7589.062412178668,5227.3350185480085,15170.41975074634,1298.0,0.6533127889060092,6,146.0103331648509,385.5312194824219,51.64957809448242,net_exporter,GOBIERNO REGIONAL DE LORETO,OE2_co2,0.1497980823515712,madrl_v3_20260627_164047,E2,Office
Building_11,MATD3,532.7440643310547,11,-1848.3140035871766,-2279.042941080581,0.0,983.0,0.0,3,99.78340073080649,0.0,298.38018798828125,net_exporter,HOSPITAL REGIONAL DE LORETO,OE2_co2,0.029985795861739935,madrl_v3_20260627_164047,E2,Healthcare_Hospital
Building_12,MATD3,1223.2149353027344,12,-2163.488812311087,-2053.6084617908346,0.0,960.0,0.0,3,292.20137323474324,660.6112060546875,215.14822387695312,net_exporter,SEGURO SOCIAL DE SALUD - ESSALUD,OE2_co2,0.15531022741097322,madrl_v3_20260627_164047,E2,Healthcare
Building_13,MATD3,144.78224154534018,13,1514.2031124481873,971.0084948295817,3249.822793824598,2018.0,0.4628344895936571,11,7.064334845626167,17.44454574584961,2.789368152618408,net_exporter,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,OE2_co2,0.040909361589516795,madrl_v3_20260627_164047,E2,Education
Building_14,MATD3,64.33050727844238,14,6969.130487184972,4420.004919616345,11980.249707240611,1192.0,0.7348993288590604,4,3.732336677593455,0.0,10.199092864990234,net_exporter,AUTORIDAD PORTUARIA NACIONAL,OE2_co2,0.0020828322098683967,madrl_v3_20260627_164047,E2,Industrial_Port
Building_15,MATD3,140.2913589477539,15,135.67569352604914,-166.00098410973806,1532.848994847387,1535.0,0.25276872964169383,8,8.776110069068183,4.7578582763671875,20.59412384033203,net_exporter,DREL- COLEGIO NACIONAL DE IQUITOS,OE2_co2,0.023651909494671032,madrl_v3_20260627_164047,E2,Education
