rank,algorithm,scenario,oe,metric,higher_is_better,building_id,agent,nombre,tipo_uso,value,import_ratio_to_baseline,co2_reduction_kgco2,cost_reduction_eur,battery_throughput_kwh,ev_charge_kwh,ev_departure_success_ratio,grid_role_control
12,MATD3,E3,OE.3,cost_reduction_eur,True,13,Building_13,UNAP-FACULTAD DE CIENCIAS AD..CONTABLES Y ECO,Education,-7454.377370212824,1.3310261732879227,-6462.385206009651,-7454.377370212824,144.78224154534018,9541.111192865297,0.5569871159563925,net_exporter
13,MATD3,E3,OE.3,cost_reduction_eur,True,16,Building_16,SIMA - IQUITOS S.R.LTDA,Industrial,-7461.088822252495,1.0228054070531802,-6667.361244060507,-7461.088822252495,454.91090393066406,9670.127303780988,0.44913267698077824,net_exporter
14,MATD3,E3,OE.3,cost_reduction_eur,True,17,Building_17,ASOCIACION CIVIL SELVA AMAZONICA,Laboratory,-7670.537615821464,1.0556774737184738,-7019.362469963831,-7670.537615821464,391.2931638907121,9426.874285021797,0.46638257575757575,net_exporter
15,MATD3,E3,OE.3,cost_reduction_eur,True,11,Building_11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,-8538.471293286479,1.0198848921120118,-8332.188633897807,-8538.471293286479,532.7440643310547,12087.939836069942,0.671414038657172,net_exporter
16,MATD3,E3,OE.3,cost_reduction_eur,True,3,Building_3,AEROPUERTO INTERNACIONAL,Assembly,-9133.735155636445,1.0157995411175953,-8737.941424186109,-9133.735155636445,1260.8284266394985,14273.600824467838,0.5141716566866268,net_exporter
17,MATD3,E3,OE.3,cost_reduction_eur,True,7,Building_7,UNAP-FACULTAD DE BIOLOGIA-AULAS,Education,-19286.639444799344,1.1988405339979018,-16599.681164901907,-19286.639444799344,277.6279525756836,26387.20552253537,0.5247880811713331,net_exporter
1,MAAC,E1,OE.1,flex_gain_vs_baseline,True,5,Building_5,HOTEL PLAZA S.A.,MultiFamily_Hotel,-0.0023356290683402836,1.0023356290683403,-701.0513247710769,264.9368582125753,4820.243452208889,203.1743505001068,0.049597855227882036,net_importer
2,MAAC,E1,OE.1,flex_gain_vs_baseline,True,6,Building_6,MALL AVENTURA S.A.,Commercial_Mall,-0.002528363339389772,1.0025283633393898,-10656.900342616718,-2148.9174705753103,58204.87185073561,1106.6363821774721,0.021386337904138887,net_importer
3,MAAC,E1,OE.1,flex_gain_vs_baseline,True,4,Building_4,HIPERMERCADOS TOTTUS ORIENTE SAC,Retail,-0.0048849358999547565,1.0048849358999548,-2136.4090055385022,-445.9374862164841,6524.585756506846,273.44769605994225,0.024544179523141654,net_importer
4,MAAC,E1,OE.1,flex_gain_vs_baseline,True,11,Building_11,HOSPITAL REGIONAL DE LORETO,Healthcare_Hospital,-0.005991920343208834,1.0059919203432088,-2103.067469609028,888.9321198133257,10176.590277283674,570.3815714120865,0.0762970498474059,net_exporter
5,MAAC,E1,OE.1,flex_gain_vs_baseline,True,1,Building_1,ELECTRO ORIENTE S.A.,Office,-0.006054610652783676,1.0060546106527837,-17770.666452719364,-2940.3078446509317,73357.46596452329,572.6766110360622,0.04004329004329004,net_importer
6,MAAC,E1,OE.1,flex_gain_vs_baseline,True,10,Building_10,GOBIERNO REGIONAL DE LORETO,Office,-0.009153643324443017,1.009153643324443,-4240.807737960888,-958.0168433018262,13372.623413051013,787.8329135775566,0.023882896764252697,net_exporter
