algorithm,scenario,agent,electricity_cost_delta_eur,electricity_cost_control_eur,electricity_cost_baseline_eur,carbon_emissions_delta_kgco2,grid_import_delta_kwh,ev_charge_total_kwh,source_file
MATD3,E2,Building_3,-958.8966749461832,381672.3030267893,382631.19970173546,-1112.949284640723,-1383.3172614574432,4229.520744848996,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_4,-32.59594170260243,279884.9551527966,279917.5510944992,86.86336731998017,112.72668641805647,2697.514974117279,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_5,-950.0458268172516,202577.3263655693,203527.3721923865,-1416.2341955444426,-1793.08508425951,0.0,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_6,5521.813462362625,2762082.2513633748,2756560.437901012,8619.185892284382,11953.398882627487,24601.08366525173,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_7,7192.025028299468,38897.876362536364,31705.851334236897,10147.588059800866,13615.646462358534,17457.822829430923,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_8,-1950.974042386908,-31171.31619449007,-29220.342152103163,-1904.0908750832316,-2489.601236253977,3839.3417687695473,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_9,303.81413540743426,312.354694635634,8.540559228199683,557.2435806423127,704.8504620790482,3373.1118268873543,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_10,5227.3350185480085,258269.98933006625,253042.6543115182,7589.062412178668,10338.944235563278,15170.41975074634,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_11,-2279.042941080581,159882.20890891706,162161.25184999764,-1848.3140035871768,-2386.136764526367,0.0,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_12,-2053.6084617908346,665477.6965967282,667531.305058519,-2163.488812311087,-2794.821243286133,0.0,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_13,971.0084948295817,8052.684323439561,7081.675828609979,1514.2031124481873,2014.1285061556848,3249.822793824598,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_14,4420.004919616345,-49665.5554039627,-54085.56032357905,6969.130487184972,9213.748989701273,11980.249707240611,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
MATD3,E2,Building_15,-166.00098410973806,17016.926936044772,17182.92792015451,135.67569352604914,180.15763603150845,1532.848994847387,outputs/_drive_madrl/full_data/MATD3/E2/data/building_behavior_summary.csv
