algorithm,scenario,agent,grid_role_control,action_dim,observation_dim,battery_throughput_total_kwh,ev_charge_total_kwh,ev_departure_success_rate,carbon_emissions_control_kgco2,carbon_emissions_delta_kgco2,electricity_cost_control_eur,electricity_cost_delta_eur,grid_import_control_kwh,grid_export_control_kwh
MAAC,E3,Building_15,net_exporter,10,89,7942.126626354341,467.8347786217928,0.057328990228013,69458.89871040639,2349.028243940338,17111.144877692524,8.167611657190719,90568.60272537358,2387891.2370555103
MAAC,E3,Building_16,net_exporter,13,110,38013.61317858752,568.2885534018278,0.0511017346460384,254527.81912255287,8959.80473646539,153263.49815665185,134.9301664266095,330437.582034111,2371807.3530542105
MAAC,E3,Building_17,net_exporter,13,110,18282.20552666924,700.947837330401,0.0634469696969697,148117.58537182212,5493.709940827743,102078.29997880972,917.1594137359644,192561.8969387412,302571.1507797837
MASAC,E1,Building_1,net_importer,6,61,148154.7372655461,457.6761318743229,0.0292207792207792,2864231.617422998,38011.44197711768,1919219.18778758,12608.44107150426,3715862.9097661376,1807379.8620246053
MASAC,E1,Building_2,net_exporter,8,75,5013.655820707325,16.95028519630432,0.007380073800738,20217.868736670815,1368.9330320151605,-6047.157806237152,-315.5849476327385,26381.391753598586,1958444.1171892583
MASAC,E1,Building_3,net_exporter,10,89,54207.54009071289,660.0751714110374,0.0235528942115768,351323.43434625864,13061.92493868142,227335.08995670435,1527.3787585422688,455805.9165108874,1257900.5151621103
MASAC,E1,Building_4,net_importer,8,75,19580.168176272065,152.44102025032043,0.0147265077138849,445357.7195410449,4831.021028340037,303499.68439974694,789.4806635804125,588921.6133706309,106457.64665728807
MASAC,E1,Building_5,net_importer,5,54,7073.973438132634,254.56127274036407,0.0442359249329758,282114.8614779229,1474.3818138134666,190013.7517480118,-519.9722254097578,366934.7923528105,98580.12050251664
MASAC,E1,Building_6,net_importer,34,257,79025.95569919237,1406.0533001422882,0.0206315259781104,2869913.5676074624,16104.228118202183,1966479.1283379677,4501.239303347655,3777855.207172752,1432304.6984148622
MASAC,E1,Building_7,net_exporter,44,327,22417.229134745005,2126.318462386728,0.0607500642178268,58415.530713140965,8563.841417380252,23399.520642754585,2188.72682629068,76862.63258301839,1940231.165433884
