available,axis,axis_name,baseline,delta_vs_baseline,improved_vs_baseline,kpi,lower_is_better,source,value,output_profile,algorithm,scenario,seed,run_path
True,OE1,Flexibilidad energetica,,,,ev_v2g_export_total,False,citylearn_v2.evaluate_v2,3494.122005420897,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
True,OE1,Flexibilidad energetica,,,,grid_export_baseline,True,citylearn_v2.evaluate_v2,40654819.36426163,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
True,OE1,Flexibilidad energetica,40654819.36426163,-4077.7115013822913,True,grid_export_control,True,citylearn_v2.evaluate_v2,40650741.652760245,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
True,OE1,Flexibilidad energetica,0.0,-2044.4422945907447,True,grid_export_delta,True,citylearn_v2.evaluate_v2,-2044.4422945907447,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
True,OE1,Flexibilidad energetica,1.0,-0.00010030081464262874,True,grid_export_ratio,True,citylearn_v2.evaluate_v2,0.9998996991853574,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
True,OE1,Flexibilidad energetica,1.0,0.0508408423700657,False,grid_import,True,citylearn_v2.evaluate_v2,1.0508408423700657,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
True,OE1,Flexibilidad energetica,,,,grid_import_baseline,True,citylearn_v2.evaluate_v2,11107242.547481537,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
True,OE1,Flexibilidad energetica,11107242.547481537,56260.492014544085,False,grid_import_control,True,citylearn_v2.evaluate_v2,11163503.039496081,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
True,OE1,Flexibilidad energetica,0.0,28207.32397326982,False,grid_import_delta,True,citylearn_v2.evaluate_v2,28207.32397326982,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
True,OE1,Flexibilidad energetica,,,,net_exchange_baseline,True,citylearn_v2.evaluate_v2,-29547576.81678009,canonical_50ep,MASAC,E2,0,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MASAC\E2
