algorithm,scenario,axis,kpi,value,baseline,delta_vs_baseline,improved_vs_baseline,lower_is_better,available,source,run_path
MAAC,E2,OE1,ramping_average,1.0186301738338828,1.0,0.0186301738338827,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE1,zero_net_energy,0.9988305956826784,1.0,-0.0011694043173217,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE2,carbon_emissions,1.0469962875520018,1.0,0.0469962875520018,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE2,carbon_emissions_baseline,10417831.77047322,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE2,carbon_emissions_control,10558754.019475916,10417831.77047322,140922.24900269508,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE2,carbon_emissions_daily_average_baseline,28545.263442328724,,,,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE2,carbon_emissions_daily_average_control,28931.395874805567,28545.263442328724,386.13243247684295,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE2,carbon_emissions_daily_average_delta,386.1324324768447,0.0,386.1324324768447,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE2,carbon_emissions_delta,70654.19071758597,0.0,70654.19071758597,False,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
MAAC,E2,OE3,cost_one_minus_load_factor_average,0.9926963312773214,1.0,-0.0073036687226786,True,True,True,objective_kpis.csv,D:\MADRLCitytleranflexresdr\outputs\madrl_v3_20260627_164047\MAAC\E2
