algorithm,scenario,metric,value
MATD3,escenario_2,cost_ramping_average,1.0014307130196627
MATD3,escenario_2,electricity_cost,1.0123352068964833
MATD3,escenario_2,electricity_cost_baseline,5933184.36464527
MATD3,escenario_2,electricity_cost_control,6006371.421338149
MATD3,escenario_2,electricity_cost_daily_average_baseline,16257.155468830515
MATD3,escenario_2,electricity_cost_daily_average_control,16457.690845086836
MATD3,escenario_2,electricity_cost_daily_average_delta,200.53537625632055
MATD3,escenario_2,electricity_cost_delta,36693.79603456798
MATD3,escenario_2,ev_charge_total,192178.31263886765
MATD3,escenario_2,ev_departure_count,39682.0
MATD3,escenario_2,ev_departure_met_count,18395.0
MATD3,escenario_2,ev_departure_soc_deficit_mean,0.2975604583216197
MATD3,escenario_2,ev_departure_success_rate,0.4635603044201401
MATD3,escenario_2,ev_departure_within_tolerance_count,645.0
MATD3,escenario_2,ev_departure_within_tolerance_rate,0.01625422105740638
MATD3,escenario_2,ev_v2g_export_total,21079.67414651485
MATD3,escenario_2,grid_export_baseline,40660924.96252823
MATD3,escenario_2,grid_export_control,40624883.336406454
MATD3,escenario_2,grid_export_delta,-18070.19078819179
MATD3,escenario_2,grid_export_ratio,0.9991136053556334
MATD3,escenario_2,grid_import,1.0759700039557534
MATD3,escenario_2,grid_import_baseline,11142223.199565887
MATD3,escenario_2,grid_import_control,11279664.831277953
MATD3,escenario_2,grid_import_delta,68909.11355902933
MATD3,escenario_2,net_exchange_baseline,-29518701.76296234
MATD3,escenario_2,net_exchange_control,-29345218.505128495
MATD3,escenario_2,net_exchange_delta,86979.30434722392
MATD3,escenario_2,one_minus_load_factor_average,0.9897631484203935
MATD3,escenario_2,peak_average,1.0165753156311008
MATD3,escenario_2,pv_export_daily_average,113430.43071923594
MATD3,escenario_2,pv_export_total,41397380.94457448
MATD3,escenario_2,pv_generation_daily_average,135736.12476592427
MATD3,escenario_2,pv_generation_total,49538029.867697105
MATD3,escenario_2,pv_self_consumption_ratio,0.16433130152458886
MATD3,escenario_2,ramping_average,1.0014307130196627
MATD3,escenario_2,zero_net_energy,0.993746134899151
MATD3,escenario_3,battery_capacity_fade_ratio,9.213267861941276e-07
MATD3,escenario_3,battery_charge_total,8528.694224856508
MATD3,escenario_3,battery_discharge_total,6420.149063403374
MATD3,escenario_3,battery_equivalent_full_cycles,0.28456642214764116
MATD3,escenario_3,battery_throughput_total,14948.843288259885
MATD3,escenario_3,carbon_emissions,1.0847436489538798
MATD3,escenario_3,carbon_emissions_baseline,9120752.561282614
MATD3,escenario_3,carbon_emissions_control,9192668.404132348
MATD3,escenario_3,carbon_emissions_daily_average_baseline,24991.216060141884
MATD3,escenario_3,carbon_emissions_daily_average_control,25188.268261123
MATD3,escenario_3,carbon_emissions_daily_average_delta,197.0522009811165
MATD3,escenario_3,carbon_emissions_delta,36056.44752535721
MATD3,escenario_3,community_import_share,0.0692156070899416
MATD3,escenario_3,community_local_traded_daily_average,2131.1558751448247
MATD3,escenario_3,community_local_traded_total,777783.0962663966
MATD3,escenario_3,cost_one_minus_load_factor_average,0.9930329620243672
MATD3,escenario_3,cost_peak_average,1.0112345338045805
MATD3,escenario_3,cost_ramping_average,1.000857971275704
MATD3,escenario_3,electricity_cost,1.009200981675477
